Model,Accuracy (%),Balanced Accuracy (%),Macro F1 (%),Weighted F1 (%),WGA (%),Accuracy Gap (%),Macro-F1 Gap (%),EOD,DPD,EqOD,R3 Probe BA (%),Prediction Coverage (%)
Baseline,9.05,7.93,10.24,13.02,,,,,,,60.42,
M2,10.0,20.5647,3.2453000000000003,13.1444,5.8824000000000005,6.2056,5.1371,0.157781,0.030909,0.165125,,
M3,8.09523809523809,11.7338264918323,10.21854198668714,11.44516555726233,3.92,0.0400775694893341,0.0772005772005772,0.0817,0.0817,0.0817,46.03,
M2 + M3,9.523809523809524,20.103622447143856,18.260650639682897,12.964660787241431,53.52941176470589,5.106658047834518,15.23809523809524,0.1957516339869281,0.0283267153015052,0.5,52.14,41.90476190476191
