metric,best_group,best_score,worst_group,worst_score,gap,gap_percentage_points,worst_to_best_ratio
Accuracy,Medium,0.5683060109289617,Light,0.3247200689061154,0.24358594202284634,24.358594202284635,0.5713824289405685
Balanced Accuracy,Medium,0.4847705856331636,Unknown,0.2884559884559884,0.1963145971771752,19.63145971771752,0.5950360789304764
Macro Precision,Medium,0.5121178311662017,Unknown,0.1905555555555555,0.3215622756106462,32.15622756106462,0.3720931862919512
Macro Recall,Medium,0.4847705856331636,Unknown,0.2379761904761904,0.2467943951569732,24.67943951569732,0.49090476511764297
Macro F1,Medium,0.4754364467054953,Unknown,0.1926165501165501,0.2828198965889452,28.281989658894517,0.4051362731050038
