skin_tone_group,samples,accuracy,balanced_accuracy,macro_f1
Light,51,0.058823529411764705,0.09999999999999999,0.0992063492063492
Medium,91,0.10989010989010989,0.03553178847296495,0.04285714285714286
Dark,68,0.10294117647058823,0.26666666666666666,0.19523809523809524
