class_id,disease,best_accuracy,worst_accuracy,accuracy_gap,gap_percentage_points
48,lichen planus,0.6774193548387096,0.1739130434782608,0.5035063113604488,50.35063113604488
51,lupus erythematosus,0.7142857142857143,0.217391304347826,0.4968944099378882,49.68944099378882
92,scabies,0.75,0.3125,0.4375,43.75
98,squamous cell carcinoma,0.6896551724137931,0.3333333333333333,0.3563218390804598,35.63218390804598
86,psoriasis,0.5384615384615384,0.4423076923076923,0.0961538461538461,9.615384615384617
