true_disease,predicted_disease,error_count
acquired autoimmune bullous diseaseherpes gestationis,erythema multiforme,2
superficial spreading melanoma ssm,melanoma,2
basal cell carcinoma,allergic contact dermatitis,2
urticaria pigmentosa,langerhans cell histiocytosis,2
basal cell carcinoma,basal cell carcinoma morpheiform,2
basal cell carcinoma,folliculitis,2
urticaria pigmentosa,erythema multiforme,2
acne,allergic contact dermatitis,2
allergic contact dermatitis,drug eruption,2
allergic contact dermatitis,cheilitis,2
squamous cell carcinoma,melanoma,2
urticaria,pityriasis rosea,2
acrodermatitis enteropathica,congenital nevus,2
acne,stevens johnson syndrome,2
xanthomas,vitiligo,2
allergic contact dermatitis,dermatomyositis,2
xeroderma pigmentosum,dariers disease,2
becker nevus,scleromyxedema,2
acne,scabies,2
acquired autoimmune bullous diseaseherpes gestationis,acne vulgaris,1
acquired autoimmune bullous diseaseherpes gestationis,acne,1
acne vulgaris,vitiligo,1
photodermatoses,stevens johnson syndrome,1
acne vulgaris,tuberous sclerosis,1
photodermatoses,xeroderma pigmentosum,1
pilar cyst,dariers disease,1
pilar cyst,livedo reticularis,1
pediculosis lids,folliculitis,1
acne vulgaris,tick bite,1
acne vulgaris,telangiectases,1
pilar cyst,scleroderma,1
acne vulgaris,port wine stain,1
pilar cyst,rosacea,1
photodermatoses,rosacea,1
acquired autoimmune bullous diseaseherpes gestationis,lupus subacute,1
photodermatoses,ehlers danlos syndrome,1
photodermatoses,erythema nodosum,1
photodermatoses,basal cell carcinoma,1
acquired autoimmune bullous diseaseherpes gestationis,neurofibromatosis,1
acrodermatitis enteropathica,allergic contact dermatitis,1
perioral dermatitis,fordyce spots,1
acquired autoimmune bullous diseaseherpes gestationis,juvenile xanthogranuloma,1
photodermatoses,ichthyosis vulgaris,1
photodermatoses,pyogenic granuloma,1
perioral dermatitis,eczema,1
photodermatoses,lichen planus,1
acquired autoimmune bullous diseaseherpes gestationis,folliculitis,1
perioral dermatitis,allergic contact dermatitis,1
photodermatoses,mycosis fungoides,1
acquired autoimmune bullous diseaseherpes gestationis,erythema nodosum,1
