skin_tone_group,support,accuracy,macro_f1
Light,1161,0.31093884582256676,0.3061703577121606
Medium,915,0.5748633879781421,0.48916600526620085
Dark,313,0.5399361022364217,0.3554641852336737
Unknown,65,0.36923076923076925,0.23454913880445796
