Metric,Score,Percentage
Accuracy,0.4449877750611247,44.49877750611247
Balanced Accuracy,0.4065045434724506,40.65045434724506
Macro Precision,0.4428742884717236,44.287428847172364
Macro Recall,0.4065045434724506,40.65045434724506
Macro F1,0.4051294840985099,40.51294840985099
Weighted F1,0.4355949022670253,43.55949022670253
