metric,Baseline,M1,Gap Change_pp,Fairness Improvement_pp
Accuracy Gap,0.2436,0.24024230101241162,-0.3357698987588392,0.3357698987588392
Known-tone Macro-F1 Gap,0.1666,0.14749905298074295,-1.9100947019257046,1.9100947019257046
