metric,value
Accuracy,0.4229828850855746
Balanced Accuracy,0.3985614418088364
Macro Precision,0.3892713680480643
Macro Recall,0.3985614418088364
Macro F1,0.38106434077122264
Weighted F1,0.4202896161132909
