metric,best_group,best_value,worst_group,worst_value,gap,gap_percentage_points,worst_to_best_ratio
Accuracy,Medium,0.5683060109289617,Light,0.3247200689061154,0.2435859420228463,24.358594202284635,0.5713824289405685
Balanced Accuracy,Medium,0.4847705856331636,Light,0.316210279020461,0.1685603066127026,16.85603066127026,0.6522885018022611
Macro Precision,Medium,0.5121178311662017,Light,0.3465258867364871,0.1655919444297146,16.55919444297146,0.6766526483707346
Macro Recall,Medium,0.4847705856331636,Light,0.316210279020461,0.1685603066127026,16.85603066127026,0.6522885018022611
Macro F1,Medium,0.4754364467054953,Light,0.3088747201213362,0.166561726584159,16.656172658415908,0.6496656330444641
