metric,value
Accuracy,0.44050529747351264
Balanced Accuracy,0.41114543242122165
Macro Precision,0.4337494035943325
Macro Recall,0.41114543242122165
Macro F1,0.4088402520950791
Weighted F1,0.4342342615676783
