metric,Baseline,M2,Change_pp
Accuracy,0.445,0.4400977995110024,-0.4902200488997588
Balanced Accuracy,0.4065,0.41546493463906786,0.896493463906789
Macro Precision,0.4429,0.4147949286546355,-2.81050713453645
Macro Recall,0.4065,0.41546493463906786,0.896493463906789
Macro F1,0.4051,0.4011234378915326,-0.39765621084674185
Weighted F1,0.4356,0.43842862736480986,0.2828627364809877
