skin_tone_group,support,accuracy,macro_f1
Light,1161,0.32041343669250644,0.31487087138790765
Medium,915,0.5606557377049181,0.4623699243686506
Dark,313,0.5527156549520766,0.3849792857831367
Unknown,65,0.35384615384615387,0.2414450628736343
