metric,Baseline,M1,Change_pp
Accuracy,0.445,0.44050529747351264,-0.4494702526487371
Balanced Accuracy,0.4065,0.41114543242122165,0.46454324212216735
Macro Precision,0.4429,0.4337494035943325,-0.915059640566751
Macro Recall,0.4065,0.41114543242122165,0.46454324212216735
Macro F1,0.4051,0.4088402520950791,0.37402520950791107
Weighted F1,0.4356,0.4342342615676783,-0.13657384323216837
