true_class_id,true_disease,predicted_class_id,predicted_disease,error_count
5,actinic keratosis,98,squamous cell carcinoma,3
6,allergic contact dermatitis,86,psoriasis,3
98,squamous cell carcinoma,33,fordyce spots,3
96,seborrheic keratosis,103,superficial spreading melanoma ssm,3
14,congenital nevus,110,urticaria pigmentosa,3
41,juvenile xanthogranuloma,32,folliculitis,3
98,squamous cell carcinoma,86,psoriasis,3
29,erythema nodosum,6,allergic contact dermatitis,3
8,basal cell carcinoma,97,solid cystic basal cell carcinoma,3
8,basal cell carcinoma,88,pyogenic granuloma,3
8,basal cell carcinoma,56,melanoma,3
8,basal cell carcinoma,51,lupus erythematosus,3
5,actinic keratosis,22,eczema,3
8,basal cell carcinoma,5,actinic keratosis,3
6,allergic contact dermatitis,99,stasis edema,3
86,psoriasis,51,lupus erythematosus,3
101,striae,109,urticaria,3
34,granuloma annulare,91,sarcoidosis,2
88,pyogenic granuloma,25,epidermolysis bullosa,2
87,pustular psoriasis,6,allergic contact dermatitis,2
68,neutrophilic dermatoses,98,squamous cell carcinoma,2
52,lupus subacute,51,lupus erythematosus,2
51,lupus erythematosus,53,lyme disease,2
34,granuloma annulare,64,nematode infection,2
34,granuloma annulare,82,porokeratosis of mibelli,2
34,granuloma annulare,95,seborrheic dermatitis,2
86,psoriasis,68,neutrophilic dermatoses,2
70,nevus sebaceous of jadassohn,7,aplasia cutis,2
52,lupus subacute,8,basal cell carcinoma,2
51,lupus erythematosus,91,sarcoidosis,2
51,lupus erythematosus,90,rosacea,2
37,halo nevus,2,acne vulgaris,2
87,pustular psoriasis,60,mycosis fungoides,2
88,pyogenic granuloma,35,granuloma pyogenic,2
32,folliculitis,68,neutrophilic dermatoses,2
88,pyogenic granuloma,98,squamous cell carcinoma,2
68,neutrophilic dermatoses,91,sarcoidosis,2
68,neutrophilic dermatoses,84,port wine stain,2
68,neutrophilic dermatoses,60,mycosis fungoides,2
