Model,Internal Accuracy (%),Internal Balanced Accuracy (%),Internal Macro F1 (%),Internal Weighted F1 (%),Internal WGA (%),Internal Accuracy Gap (%),Internal Macro-F1 Gap (%),Internal R3 Probe BA (%),Internal EOD,Internal DPD,Internal EqOD,DDI Accuracy (%),DDI Balanced Accuracy (%),DDI Macro F1 (%),DDI Weighted F1 (%),DDI WGA (%),DDI Accuracy Gap (%),DDI Macro-F1 Gap (%),DDI R3 Probe BA (%),DDI EOD,DDI DPD,DDI EqOD,Generalization Gap — Accuracy (%),Generalization Gap — Balanced Accuracy (%),Generalization Gap — Macro F1 (%),Generalization Gap — Weighted F1 (%),R3 Reduction — Internal (pp),R3 Reduction — DDI (pp),R3 Better Mitigation Dataset
Baseline,44.5,40.65,40.510000000000005,43.56,32.47200689061154,,,,0.4549689501610371,0.0164518748981499,0.23278919107625,9.05,7.93,10.24,13.02,,,,60.42,,,,-35.45,-32.72,-30.270000000000003,-30.540000000000003,,0.0,
M2,44.0098,41.546499999999995,40.1123,43.8429,31.09388458225667,,,,0.4610907496674859,0.0162874794834963,0.2359514058078559,10.0,20.5647,3.2453000000000003,13.1444,5.8824000000000005,6.2056,5.1371,,0.157781,0.030909,0.165125,-34.0098,-20.981799999999996,-36.867,-30.698500000000003,,,
M3,,,,,,,,,,,,8.09523809523809,11.7338264918323,10.21854198668714,11.44516555726233,3.92,0.0400775694893341,0.0772005772005772,46.03,0.0817,0.0817,0.0817,,,,,,14.39,
M2 + M3,,,,,,,,,,,,9.523809523809524,20.103622447143856,18.260650639682897,12.964660787241431,53.52941176470589,5.106658047834518,15.23809523809524,52.14,0.1957516339869281,0.0283267153015052,0.5,,,,,,8.280000000000001,
