,precision,recall,f1-score,support
0,0.4444444444444444,0.6153846153846154,0.5161290322580645,13.0
1,0.125,0.1111111111111111,0.11764705882352941,27.0
2,0.5925925925925926,0.6274509803921569,0.6095238095238096,51.0
3,0.2,0.1,0.13333333333333333,10.0
4,1.0,0.42857142857142855,0.6,14.0
5,0.3076923076923077,0.3076923076923077,0.3076923076923077,26.0
6,0.34782608695652173,0.375,0.3609022556390977,64.0
7,0.3076923076923077,0.4,0.34782608695652173,10.0
8,0.4307692307692308,0.4,0.4148148148148148,70.0
9,0.14285714285714285,0.1111111111111111,0.125,9.0
10,0.6,0.6,0.6,10.0
11,0.3333333333333333,0.375,0.35294117647058826,8.0
12,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
13,0.2631578947368421,0.3333333333333333,0.29411764705882354,15.0
14,0.4,0.4,0.4,10.0
15,0.0,0.0,0.0,22.0
16,0.4166666666666667,0.4166666666666667,0.4166666666666667,12.0
17,0.2222222222222222,0.38095238095238093,0.2807017543859649,21.0
18,0.625,0.5555555555555556,0.5882352941176471,9.0
19,0.3,0.3,0.3,30.0
20,0.0,0.0,0.0,10.0
21,0.25,0.09090909090909091,0.13333333333333333,11.0
22,0.0975609756097561,0.13793103448275862,0.11428571428571428,29.0
23,0.5666666666666667,0.85,0.68,20.0
24,0.6666666666666666,0.42857142857142855,0.5217391304347826,14.0
25,0.0,0.0,0.0,10.0
26,0.6,0.46153846153846156,0.5217391304347826,13.0
27,0.8,0.5,0.6153846153846154,8.0
28,0.32608695652173914,0.42857142857142855,0.37037037037037035,35.0
29,0.2777777777777778,0.45454545454545453,0.3448275862068966,11.0
30,1.0,0.4444444444444444,0.6153846153846154,9.0
31,0.35714285714285715,0.2777777777777778,0.3125,18.0
32,0.3584905660377358,0.7450980392156863,0.4840764331210191,51.0
33,0.5238095238095238,0.6875,0.5945945945945946,16.0
34,0.5294117647058824,0.28125,0.3673469387755102,32.0
35,0.5,0.5454545454545454,0.5217391304347826,11.0
36,0.84,0.7777777777777778,0.8076923076923077,27.0
37,0.5,0.45454545454545453,0.47619047619047616,11.0
38,0.46153846153846156,0.4,0.42857142857142855,15.0
39,0.08333333333333333,0.1111111111111111,0.09523809523809523,9.0
40,0.3181818181818182,0.4666666666666667,0.3783783783783784,15.0
41,0.43478260869565216,0.45454545454545453,0.4444444444444444,22.0
42,0.5789473684210527,0.5238095238095238,0.55,21.0
43,0.7272727272727273,0.7272727272727273,0.7272727272727273,22.0
44,0.3333333333333333,0.16666666666666666,0.2222222222222222,12.0
45,0.42857142857142855,0.6666666666666666,0.5217391304347826,9.0
46,0.8888888888888888,0.6153846153846154,0.7272727272727273,13.0
47,0.42857142857142855,0.5454545454545454,0.48,11.0
48,0.5522388059701493,0.5,0.524822695035461,74.0
49,0.8,0.5714285714285714,0.6666666666666666,14.0
50,0.5,0.5555555555555556,0.5263157894736842,9.0
51,0.4393939393939394,0.46774193548387094,0.453125,62.0
52,0.06666666666666667,0.0625,0.06451612903225806,16.0
53,0.2894736842105263,0.5789473684210527,0.38596491228070173,19.0
54,0.6666666666666666,0.14285714285714285,0.23529411764705882,14.0
55,0.3076923076923077,0.23529411764705882,0.26666666666666666,17.0
56,0.36363636363636365,0.3,0.3287671232876712,40.0
57,0.75,0.35294117647058826,0.48,17.0
58,0.5,0.3076923076923077,0.38095238095238093,13.0
59,0.5,0.3076923076923077,0.38095238095238093,13.0
60,0.3235294117647059,0.4074074074074074,0.36065573770491804,27.0
61,0.8,0.4444444444444444,0.5714285714285714,9.0
62,1.0,0.5,0.6666666666666666,10.0
63,0.4782608695652174,0.6111111111111112,0.5365853658536586,18.0
64,0.58,0.7631578947368421,0.6590909090909091,38.0
65,0.0,0.0,0.0,11.0
66,0.6363636363636364,0.5185185185185185,0.5714285714285714,27.0
67,1.0,0.18181818181818182,0.3076923076923077,11.0
68,0.4918032786885246,0.5454545454545454,0.5172413793103449,55.0
69,0.5,0.3333333333333333,0.4,12.0
70,0.4,0.14285714285714285,0.21052631578947367,14.0
71,0.8,0.8695652173913043,0.8333333333333334,23.0
72,0.4,0.25,0.3076923076923077,8.0
73,0.6060606060606061,0.9090909090909091,0.7272727272727273,22.0
74,0.16666666666666666,0.2222222222222222,0.19047619047619047,9.0
75,0.2926829268292683,0.23529411764705882,0.2608695652173913,51.0
76,0.4,0.42857142857142855,0.41379310344827586,14.0
77,0.3333333333333333,0.375,0.35294117647058826,8.0
78,0.4375,0.7,0.5384615384615384,10.0
79,0.6153846153846154,0.5714285714285714,0.5925925925925926,28.0
80,0.6862745098039216,0.8536585365853658,0.7608695652173914,41.0
81,0.88,0.8148148148148148,0.8461538461538461,27.0
82,0.4166666666666667,0.45454545454545453,0.43478260869565216,11.0
83,0.5,0.21052631578947367,0.2962962962962963,19.0
84,0.2222222222222222,0.2222222222222222,0.2222222222222222,9.0
85,0.5294117647058824,0.72,0.6101694915254238,25.0
86,0.43119266055045874,0.47474747474747475,0.4519230769230769,99.0
87,0.5,0.125,0.2,8.0
88,0.16666666666666666,0.16666666666666666,0.16666666666666666,18.0
89,0.47619047619047616,0.7142857142857143,0.5714285714285714,14.0
90,0.17647058823529413,0.2,0.1875,15.0
91,0.3333333333333333,0.3137254901960784,0.32323232323232326,51.0
92,0.5882352941176471,0.5882352941176471,0.5882352941176471,51.0
93,0.3684210526315789,0.2978723404255319,0.32941176470588235,47.0
94,0.5384615384615384,0.4666666666666667,0.5,15.0
95,0.391304347826087,0.47368421052631576,0.42857142857142855,19.0
96,0.25,0.18181818181818182,0.21052631578947367,11.0
97,0.16666666666666666,0.1111111111111111,0.13333333333333333,9.0
98,0.5125,0.4659090909090909,0.4880952380952381,88.0
99,0.1111111111111111,0.1111111111111111,0.1111111111111111,9.0
100,0.2777777777777778,0.29411764705882354,0.2857142857142857,17.0
101,0.25,0.2,0.2222222222222222,10.0
102,0.5,0.1111111111111111,0.18181818181818182,9.0
103,0.3103448275862069,0.5,0.3829787234042553,18.0
104,0.6842105263157895,0.7222222222222222,0.7027027027027027,18.0
105,0.3,0.16666666666666666,0.21428571428571427,18.0
106,0.25,0.1,0.14285714285714285,10.0
107,0.55,0.5238095238095238,0.5365853658536586,21.0
108,0.8461538461538461,0.9565217391304348,0.8979591836734694,23.0
109,0.35294117647058826,0.5217391304347826,0.42105263157894735,23.0
110,0.3333333333333333,0.29411764705882354,0.3125,17.0
111,0.6190476190476191,0.5416666666666666,0.5777777777777777,24.0
112,0.0,0.0,0.0,8.0
113,0.3684210526315789,0.6363636363636364,0.4666666666666667,11.0
accuracy,0.4449877750611247,0.4449877750611247,0.4449877750611247,0.4449877750611247
macro avg,0.44287428847172366,0.40650454347245063,0.4051294840985099,2454.0
weighted avg,0.45333705643021427,0.4449877750611247,0.4355949022670253,2454.0
