skin_tone_group,sample_count,correct_predictions,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mean_confidence,accuracy_percent,balanced_accuracy_percent,macro_precision_percent,macro_recall_percent,macro_f1_percent,sample_percentage
Light,1161,377,0.32472006890611543,0.31621027902046106,0.34652588673648715,0.31621027902046106,0.30887472012133627,0.41075837154111455,32.472006890611546,31.621027902046105,34.652588673648715,31.621027902046105,30.887472012133628,47.31051344743276
Medium,915,520,0.5683060109289617,0.48477058563316366,0.5121178311662017,0.48477058563316366,0.4754364467054953,0.5722792941506931,56.830601092896174,48.47705856331637,51.21178311662017,48.47705856331637,47.543644670549526,37.286063569682156
Dark,313,173,0.5527156549520766,0.4229625021635168,0.39322672008842224,0.3734668902082116,0.3643014512320896,0.55957847105238,55.27156549520767,42.29625021635168,39.322672008842225,37.34668902082116,36.43014512320896,12.754686226568868
Unknown,65,22,0.3384615384615385,0.28845598845598847,0.19055555555555553,0.23797619047619048,0.1926165501165501,0.41140849160460324,33.84615384615385,28.845598845598847,19.055555555555554,23.797619047619047,19.26165501165501,2.6487367563162185
