metric,value
Accuracy,0.4400977995110024
Balanced Accuracy,0.41546493463906786
Macro Precision,0.4147949286546355
Macro Recall,0.41546493463906786
Macro F1,0.4011234378915326
Weighted F1,0.43842862736480986
