metric,Baseline,M2,Gap Change_pp,Fairness Improvement_pp
Accuracy Gap,0.2436,0.2639245421555753,2.0324542155575305,-2.0324542155575305
Known-tone Macro-F1 Gap,0.1666,0.18299564755404024,1.6395647554040242,-1.6395647554040242
