Model,Accuracy (%),Balanced Accuracy (%),Macro F1 (%),Weighted F1 (%)
Baseline,9.05,7.93,10.24,13.02
M2,10.0,20.5647,3.2453000000000003,13.1444
M3,8.09523809523809,11.7338264918323,10.21854198668714,11.44516555726233
M2 + M3,9.523809523809524,20.103622447143856,18.260650639682897,12.964660787241431
