Model,Accuracy_change_pp,Balanced_Accuracy_change_pp,Macro_F1_change_pp,Weighted_F1_change_pp,WGA_change_pp,EOD_change,DPD_change,EqOD_change
M1,-0.4495000000000027,0.464500000000001,0.37399999999999656,-0.13659999999999783,-0.43066322136089963,0.019968974061894074,-0.00031492877010589823,0.009913047811899889
M2,-0.49020000000000175,0.8965000000000001,-0.39770000000000083,0.2829000000000026,-1.3781223083548677,0.006121799506448811,-0.00016439541465360086,0.0031622147316058835
M1 + M2,-2.2017000000000007,-0.7938999999999974,-2.4036,-1.530999999999999,-1.4642549526270476,0.01409043692237577,0.00023263663164670156,0.007293573197463793
