metric,best_group,best_value,worst_group,worst_value,gap_percentage_points,worst_to_best_ratio,best_value_percent,worst_value_percent
Accuracy,Medium,0.5683060109289617,Light,0.3247200689061154,24.358594202284635,0.5713824289405685,56.830601092896174,32.47200689061154
Balanced Accuracy,Medium,0.4847705856331636,Unknown,0.2884559884559884,19.63145971771752,0.5950360789304764,48.47705856331636,28.84559884559884
Macro Precision,Medium,0.5121178311662017,Unknown,0.1905555555555555,32.15622756106462,0.3720931862919512,51.21178311662017,19.05555555555555
Macro Recall,Medium,0.4847705856331636,Unknown,0.2379761904761904,24.67943951569732,0.49090476511764297,48.47705856331636,23.79761904761904
Macro F1,Medium,0.4754364467054953,Unknown,0.1926165501165501,28.281989658894517,0.4051362731050038,47.543644670549526,19.26165501165501
