Model,Accuracy (%),Balanced Accuracy (%),Macro Precision (%),Macro Recall (%),Macro F1 (%),Weighted F1 (%),Prediction Coverage (%),WGA (%),EOD,DPD,EqOD,Accuracy Gap (%),Macro-F1 Gap (%),R3 Probe BA (%)
Baseline,9.05,7.93,22.25,7.93,10.24,13.02,,,,,,,,60.42
M2,10.0,20.5647,4.9628,4.4985,3.2453000000000003,13.1444,,5.8824000000000005,0.157781,0.030909,0.165125,6.2056,5.1371,
M3,8.09523809523809,11.7338264918323,16.58163265306122,11.7338264918323,10.21854198668714,11.44516555726233,,3.92,0.0817,0.0817,0.0817,0.0400775694893341,0.0772005772005772,46.03
M2 + M3,9.523809523809524,20.103622447143856,37.59637188208617,20.103622447143856,18.260650639682897,12.964660787241431,41.90476190476191,53.52941176470589,0.1957516339869281,0.0283267153015052,0.5,5.106658047834518,15.23809523809524,52.14
