Model,WGA,EOD,DPD,EqOD
Baseline,0.32472006890611543,0.45496895016103717,0.016451874898149907,0.23278919107625007
M1,0.32041343669250644,0.4749379242229312,0.01613694612804405,0.24270223888814996
M2,0.31093884582256676,0.4610907496674859,0.016287479483496365,0.23595140580785598
M1 + M2,0.31007751937984496,0.46905938708341294,0.01668451152979662,0.24008276427371386
