class_id,disease,precision,recall,f1-score,support
0,class_0,0.4444444444444444,0.6153846153846154,0.5161290322580645,13.0
1,class_1,0.125,0.1111111111111111,0.1176470588235294,27.0
2,class_2,0.5925925925925926,0.6274509803921569,0.6095238095238096,51.0
3,class_3,0.2,0.1,0.1333333333333333,10.0
4,class_4,1.0,0.4285714285714285,0.6,14.0
5,class_5,0.3076923076923077,0.3076923076923077,0.3076923076923077,26.0
6,class_6,0.3478260869565217,0.375,0.3609022556390977,64.0
7,class_7,0.3076923076923077,0.4,0.3478260869565217,10.0
8,class_8,0.4307692307692308,0.4,0.4148148148148148,70.0
9,class_9,0.1428571428571428,0.1111111111111111,0.125,9.0
10,class_10,0.6,0.6,0.6,10.0
11,class_11,0.3333333333333333,0.375,0.3529411764705882,8.0
12,class_12,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
13,class_13,0.2631578947368421,0.3333333333333333,0.2941176470588235,15.0
14,class_14,0.4,0.4,0.4,10.0
15,class_15,0.0,0.0,0.0,22.0
16,class_16,0.4166666666666667,0.4166666666666667,0.4166666666666667,12.0
17,class_17,0.2222222222222222,0.3809523809523809,0.2807017543859649,21.0
18,class_18,0.625,0.5555555555555556,0.5882352941176471,9.0
19,class_19,0.3,0.3,0.3,30.0
20,class_20,0.0,0.0,0.0,10.0
21,class_21,0.25,0.0909090909090909,0.1333333333333333,11.0
22,class_22,0.0975609756097561,0.1379310344827586,0.1142857142857142,29.0
23,class_23,0.5666666666666667,0.85,0.68,20.0
24,class_24,0.6666666666666666,0.4285714285714285,0.5217391304347826,14.0
25,class_25,0.0,0.0,0.0,10.0
26,class_26,0.6,0.4615384615384615,0.5217391304347826,13.0
27,class_27,0.8,0.5,0.6153846153846154,8.0
28,class_28,0.3260869565217391,0.4285714285714285,0.3703703703703703,35.0
29,class_29,0.2777777777777778,0.4545454545454545,0.3448275862068966,11.0
30,class_30,1.0,0.4444444444444444,0.6153846153846154,9.0
31,class_31,0.3571428571428571,0.2777777777777778,0.3125,18.0
32,class_32,0.3584905660377358,0.7450980392156863,0.4840764331210191,51.0
33,class_33,0.5238095238095238,0.6875,0.5945945945945946,16.0
34,class_34,0.5294117647058824,0.28125,0.3673469387755102,32.0
35,class_35,0.5,0.5454545454545454,0.5217391304347826,11.0
36,class_36,0.84,0.7777777777777778,0.8076923076923077,27.0
37,class_37,0.5,0.4545454545454545,0.4761904761904761,11.0
38,class_38,0.4615384615384615,0.4,0.4285714285714285,15.0
39,class_39,0.0833333333333333,0.1111111111111111,0.0952380952380952,9.0
40,class_40,0.3181818181818182,0.4666666666666667,0.3783783783783784,15.0
41,class_41,0.4347826086956521,0.4545454545454545,0.4444444444444444,22.0
42,class_42,0.5789473684210527,0.5238095238095238,0.55,21.0
43,class_43,0.7272727272727273,0.7272727272727273,0.7272727272727273,22.0
44,class_44,0.3333333333333333,0.1666666666666666,0.2222222222222222,12.0
45,class_45,0.4285714285714285,0.6666666666666666,0.5217391304347826,9.0
46,class_46,0.8888888888888888,0.6153846153846154,0.7272727272727273,13.0
47,class_47,0.4285714285714285,0.5454545454545454,0.48,11.0
48,class_48,0.5522388059701493,0.5,0.524822695035461,74.0
49,class_49,0.8,0.5714285714285714,0.6666666666666666,14.0
50,class_50,0.5,0.5555555555555556,0.5263157894736842,9.0
51,class_51,0.4393939393939394,0.4677419354838709,0.453125,62.0
52,class_52,0.0666666666666666,0.0625,0.064516129032258,16.0
53,class_53,0.2894736842105263,0.5789473684210527,0.3859649122807017,19.0
54,class_54,0.6666666666666666,0.1428571428571428,0.2352941176470588,14.0
55,class_55,0.3076923076923077,0.2352941176470588,0.2666666666666666,17.0
56,class_56,0.3636363636363636,0.3,0.3287671232876712,40.0
57,class_57,0.75,0.3529411764705882,0.48,17.0
58,class_58,0.5,0.3076923076923077,0.3809523809523809,13.0
59,class_59,0.5,0.3076923076923077,0.3809523809523809,13.0
60,class_60,0.3235294117647059,0.4074074074074074,0.360655737704918,27.0
61,class_61,0.8,0.4444444444444444,0.5714285714285714,9.0
62,class_62,1.0,0.5,0.6666666666666666,10.0
63,class_63,0.4782608695652174,0.6111111111111112,0.5365853658536586,18.0
64,class_64,0.58,0.7631578947368421,0.6590909090909091,38.0
65,class_65,0.0,0.0,0.0,11.0
66,class_66,0.6363636363636364,0.5185185185185185,0.5714285714285714,27.0
67,class_67,1.0,0.1818181818181818,0.3076923076923077,11.0
68,class_68,0.4918032786885246,0.5454545454545454,0.5172413793103449,55.0
69,class_69,0.5,0.3333333333333333,0.4,12.0
70,class_70,0.4,0.1428571428571428,0.2105263157894736,14.0
71,class_71,0.8,0.8695652173913043,0.8333333333333334,23.0
72,class_72,0.4,0.25,0.3076923076923077,8.0
73,class_73,0.6060606060606061,0.9090909090909092,0.7272727272727273,22.0
74,class_74,0.1666666666666666,0.2222222222222222,0.1904761904761904,9.0
75,class_75,0.2926829268292683,0.2352941176470588,0.2608695652173913,51.0
76,class_76,0.4,0.4285714285714285,0.4137931034482758,14.0
77,class_77,0.3333333333333333,0.375,0.3529411764705882,8.0
78,class_78,0.4375,0.7,0.5384615384615384,10.0
79,class_79,0.6153846153846154,0.5714285714285714,0.5925925925925926,28.0
80,class_80,0.6862745098039216,0.8536585365853658,0.7608695652173914,41.0
81,class_81,0.88,0.8148148148148148,0.8461538461538461,27.0
82,class_82,0.4166666666666667,0.4545454545454545,0.4347826086956521,11.0
83,class_83,0.5,0.2105263157894736,0.2962962962962963,19.0
84,class_84,0.2222222222222222,0.2222222222222222,0.2222222222222222,9.0
85,class_85,0.5294117647058824,0.72,0.6101694915254238,25.0
86,class_86,0.4311926605504587,0.4747474747474747,0.4519230769230769,99.0
87,class_87,0.5,0.125,0.2,8.0
88,class_88,0.1666666666666666,0.1666666666666666,0.1666666666666666,18.0
89,class_89,0.4761904761904761,0.7142857142857143,0.5714285714285714,14.0
90,class_90,0.1764705882352941,0.2,0.1875,15.0
