skin_tone_group,support,accuracy,macro_f1
Light,1161,0.31007751937984496,0.294711932236271
Medium,915,0.5278688524590164,0.4315031661501628
Dark,313,0.549520766773163,0.3697360859095553
Unknown,65,0.35384615384615387,0.2233189033189033
