class_id,disease,best_group_accuracy,worst_group_accuracy,accuracy_gap,accuracy_gap_percentage_points
7,class_7,1.0,0.0,1.0,100.0
5,class_5,1.0,0.0,1.0,100.0
27,class_27,1.0,0.0,1.0,100.0
47,class_47,1.0,0.0,1.0,100.0
30,class_30,1.0,0.0,1.0,100.0
59,class_59,1.0,0.0,1.0,100.0
80,class_80,1.0,0.0,1.0,100.0
105,class_105,1.0,0.0,1.0,100.0
88,class_88,1.0,0.08333333333333333,0.9166666666666666,91.66666666666666
42,class_42,0.9,0.0,0.9,90.0
57,class_57,1.0,0.1,0.9,90.0
76,class_76,1.0,0.14285714285714285,0.8571428571428572,85.71428571428572
17,class_17,0.8571428571428571,0.0,0.8571428571428571,85.71428571428571
93,class_93,0.8571428571428571,0.0,0.8571428571428571,85.71428571428571
64,class_64,0.8333333333333334,0.0,0.8333333333333334,83.33333333333334
45,class_45,0.8333333333333334,0.0,0.8333333333333334,83.33333333333334
66,class_66,0.8181818181818182,0.0,0.8181818181818182,81.81818181818183
13,class_13,1.0,0.2,0.8,80.0
113,class_113,0.8,0.0,0.8,80.0
61,class_61,0.75,0.0,0.75,75.0
35,class_35,0.75,0.0,0.75,75.0
6,class_6,1.0,0.28205128205128205,0.717948717948718,71.7948717948718
95,class_95,0.7142857142857143,0.0,0.7142857142857143,71.42857142857143
38,class_38,0.7142857142857143,0.0,0.7142857142857143,71.42857142857143
2,class_2,0.7142857142857143,0.0,0.7142857142857143,71.42857142857143
60,class_60,0.7,0.0,0.7,70.0
48,class_48,0.6774193548387096,0.0,0.6774193548387096,67.74193548387096
8,class_8,1.0,0.3333333333333333,0.6666666666666667,66.66666666666667
62,class_62,1.0,0.3333333333333333,0.6666666666666667,66.66666666666667
37,class_37,1.0,0.3333333333333333,0.6666666666666667,66.66666666666667
24,class_24,0.6666666666666666,0.0,0.6666666666666666,66.66666666666666
4,class_4,0.6666666666666666,0.0,0.6666666666666666,66.66666666666666
46,class_46,0.6666666666666666,0.0,0.6666666666666666,66.66666666666666
111,class_111,0.6363636363636364,0.0,0.6363636363636364,63.63636363636363
41,class_41,0.6,0.0,0.6,60.0
0,class_0,0.8333333333333334,0.25,0.5833333333333334,58.333333333333336
14,class_14,0.75,0.16666666666666666,0.5833333333333334,58.333333333333336
103,class_103,0.5714285714285714,0.0,0.5714285714285714,57.14285714285714
18,class_18,1.0,0.42857142857142855,0.5714285714285714,57.14285714285714
28,class_28,0.5333333333333333,0.0,0.5333333333333333,53.333333333333336
34,class_34,0.5333333333333333,0.0,0.5333333333333333,53.333333333333336
85,class_85,0.9285714285714286,0.4,0.5285714285714286,52.85714285714286
52,class_52,0.5,0.0,0.5,50.0
106,class_106,0.5,0.0,0.5,50.0
110,class_110,0.6,0.1,0.5,50.0
99,class_99,0.5,0.0,0.5,50.0
63,class_63,1.0,0.5,0.5,50.0
55,class_55,0.5,0.0,0.5,50.0
11,class_11,0.5,0.0,0.5,50.0
51,class_51,0.7142857142857143,0.21739130434782608,0.49689440993788825,49.68944099378882
109,class_109,0.75,0.2727272727272727,0.4772727272727273,47.72727272727273
56,class_56,0.46153846153846156,0.0,0.46153846153846156,46.15384615384615
1,class_1,0.5,0.058823529411764705,0.4411764705882353,44.11764705882353
92,class_92,0.75,0.3125,0.4375,43.75
91,class_91,0.4375,0.0,0.4375,43.75
94,class_94,0.625,0.2,0.425,42.5
98,class_98,0.6896551724137931,0.2857142857142857,0.40394088669950745,40.39408866995075
36,class_36,1.0,0.6,0.4,40.0
75,class_75,0.4,0.0,0.4,40.0
54,class_54,0.4,0.0,0.4,40.0
10,class_10,0.7142857142857143,0.3333333333333333,0.380952380952381,38.0952380952381
26,class_26,0.6666666666666666,0.2857142857142857,0.38095238095238093,38.095238095238095
58,class_58,0.5,0.14285714285714285,0.35714285714285715,35.714285714285715
104,class_104,0.8571428571428571,0.5,0.3571428571428571,35.71428571428571
50,class_50,0.75,0.4,0.35,35.0
108,class_108,1.0,0.6666666666666666,0.33333333333333337,33.333333333333336
73,class_73,1.0,0.6666666666666666,0.33333333333333337,33.333333333333336
32,class_32,0.8333333333333334,0.5,0.33333333333333337,33.333333333333336
23,class_23,1.0,0.6666666666666666,0.33333333333333337,33.333333333333336
21,class_21,0.3333333333333333,0.0,0.3333333333333333,33.33333333333333
72,class_72,0.3333333333333333,0.0,0.3333333333333333,33.33333333333333
107,class_107,0.6666666666666666,0.3333333333333333,0.3333333333333333,33.33333333333333
84,class_84,0.3333333333333333,0.0,0.3333333333333333,33.33333333333333
