metric,value
Accuracy,0.08095238095238096
Balanced Accuracy,0.11733826491832301
Macro Precision,0.16581632653061223
Macro Recall,0.11733826491832301
Macro F1,0.10218541986687148
Weighted F1,0.11445165557262332
WGA,0.058823529411764705
Accuracy Gap,0.04007756948933419
Macro-F1 Gap,0.0772005772005772
