category,metric,value,value_percent
Overall,Accuracy,0.4449877750611247,44.49877750611247
Overall,Balanced Accuracy,0.4065045434724506,40.65045434724506
Overall,Macro Precision,0.4428742884717236,44.287428847172364
Overall,Macro Recall,0.4065045434724506,40.65045434724506
Overall,Macro F1,0.4051294840985099,40.51294840985099
Overall,Weighted F1,0.4355949022670253,43.55949022670253
Fairness,Accuracy Gap,24.358594202284635,24.358594202284635
Fairness,Known-Tone Macro-F1 Gap,16.656172658415908,16.656172658415908
