Model,WGA (%),EOD,DPD,EqOD,Accuracy Gap (%),Macro-F1 Gap (%)
Baseline,,,,,,
M2,5.8824000000000005,0.157781,0.030909,0.165125,6.2056,5.1371
M3,3.92,0.0817,0.0817,0.0817,0.0400775694893341,0.0772005772005772
M2 + M3,53.52941176470589,0.1957516339869281,0.0283267153015052,0.5,5.106658047834518,15.23809523809524
