Model,Fitzpatrick17k Accuracy (%),DDI Accuracy (%),Fitzpatrick17k Balanced Accuracy (%),DDI Balanced Accuracy (%),Fitzpatrick17k Macro F1 (%),DDI Macro F1 (%),Fitzpatrick17k Weighted F1 (%),DDI Weighted F1 (%)
Baseline,,9.05,,7.93,,10.24,,13.02
M2,,10.0,,20.5647,,3.2453000000000003,,13.1444
